Run	Iteration	MSE	mE	mP	bP
1.0	0.0	22.45583425671636	0.0159	3.1445	0.375
1.0	1.0	22.460594683875655	0.01580406412012789	3.3590930883804004	0.5103950951449123
1.0	2.0	22.46037835568944	0.017119881227806166	3.293939960720922	0.5441358684925648
1.0	3.0	22.462146051319344	0.017585094074744102	3.1474841306328125	0.7263923204839373
1.0	4.0	22.462844122481624	0.015611354336798857	2.373751596117679	0.9497388039173934
1.0	5.0	22.461890305879418	0.02118225398134965	2.5726330782155764	1.0123142091497725
1.0	6.0	22.460106106305382	0.020629070683515004	2.3067693737154613	0.8724401872883969
1.0	7.0	22.447697101445804	0.02069963991563318	1.9506880702380294	0.4838375172216664
1.0	8.0	22.442943660240076	0.017254145681235334	2.64370016773945	0.29320890722486104
1.0	9.0	22.392273080312954	0.014121378539111775	2.88394546605521	0.16608922221720818
1.0	10.0	22.08569762132778	0.016731966116325235	3.169089191727752	0.12098320489802109
1.0	11.0	18.74488489083149	0.021543953682486988	2.6648166605550845	0.08957171818168506
1.0	12.0	18.74488489083149	0.021543953682486988	2.6648166605550845	0.08957171818168506
1.0	13.0	18.1960271334163	0.02571529283576938	2.195083134620377	0.1002058719898007
1.0	14.0	11.95335151494948	0.024953902967811633	1.8971259631132205	0.06768556839148897
1.0	15.0	11.95335151494948	0.024953902967811633	1.8971259631132205	0.06768556839148897
1.0	16.0	11.591448874211578	0.036415893210207016	1.8611516396321315	0.08287480495323173
1.0	17.0	11.591448874211578	0.036415893210207016	1.8611516396321315	0.08287480495323173
1.0	18.0	6.550762504351224	0.06278074320980156	1.2429860754322775	0.06723947652782392
1.0	19.0	6.835008820409512	0.10117374643136368	0.9468410315033013	0.08503181031212892
1.0	20.0	8.00667509412296	0.08303285798029952	0.6566425249186462	0.0772483927444257
2.0	0.0	8.00667509412296	0.08303285798029952	0.6566425249186462	0.0772483927444257
2.0	1.0	5.89692914453727	0.07692256231130547	0.9110325282748579	0.07970248247111318
2.0	2.0	5.89692914453727	0.07692256231130547	0.9110325282748579	0.07970248247111318
2.0	3.0	5.89692914453727	0.07692256231130547	0.9110325282748579	0.07970248247111318
2.0	4.0	5.89692914453727	0.07692256231130547	0.9110325282748579	0.07970248247111318
2.0	5.0	8.109950269474265	0.07385280061134306	0.9915754604736373	0.060348972554213884
2.0	6.0	4.501620197005695	0.08462906039455177	0.8917808315106114	0.0983149291608895
2.0	7.0	4.501620197005695	0.08462906039455177	0.8917808315106114	0.0983149291608895
2.0	8.0	3.8779422907394836	0.06173571784898873	0.6322548308001235	0.11341412062996777
2.0	9.0	2.755390575815624	0.07809191553930289	0.5000265275567631	0.15879090905739549
2.0	10.0	2.755390575815624	0.07809191553930289	0.5000265275567631	0.15879090905739549
2.0	11.0	2.755390575815624	0.07809191553930289	0.5000265275567631	0.15879090905739549
2.0	12.0	2.6742296531236627	0.07774694580605833	0.5509388871543293	0.1368743864583883
2.0	13.0	2.6742296531236627	0.07774694580605833	0.5509388871543293	0.1368743864583883
2.0	14.0	2.6742296531236627	0.07774694580605833	0.5509388871543293	0.1368743864583883
2.0	15.0	2.6742296531236627	0.07774694580605833	0.5509388871543293	0.1368743864583883
2.0	16.0	2.6742296531236627	0.07774694580605833	0.5509388871543293	0.1368743864583883
2.0	17.0	2.6742296531236627	0.07774694580605833	0.5509388871543293	0.1368743864583883
2.0	18.0	1.9576786669812016	0.09522619362972307	0.44564267638666194	0.14813898963386365
2.0	19.0	2.1348307309402452	0.09422551292449878	0.44486679276119206	0.14447655140176766
2.0	20.0	1.6898329377286778	0.07256091887753036	0.35215834522816974	0.14790502269023517
3.0	0.0	1.6898329377286778	0.07256091887753036	0.35215834522816974	0.14790502269023517
3.0	1.0	1.68872263074686	0.06190660261480506	0.3220581604456856	0.14847487751264268
3.0	2.0	1.68872263074686	0.06190660261480506	0.3220581604456856	0.14847487751264268
3.0	3.0	0.6029996001942293	0.06623241942442362	0.19201446322692073	0.19934567388739186
3.0	4.0	0.764587931198439	0.04833668424731959	0.13447177414662975	0.18023596751990592
3.0	5.0	0.924798840883827	0.044695412815508706	0.1346418335631331	0.16534722788046052
3.0	6.0	0.8314818732131158	0.05131307865948217	0.17866477853122528	0.17320279905845318
3.0	7.0	1.644358728595739	0.04920546683508255	0.2532549652278223	0.1515705109737508
3.0	8.0	2.1810663959948102	0.053387133395191626	0.30102348280668845	0.12322014233422147
3.0	9.0	2.8054194465143483	0.0473488397037298	0.35484163300574145	0.10501476764098153
3.0	10.0	2.8054194465143483	0.0473488397037298	0.35484163300574145	0.10501476764098153
3.0	11.0	2.9015113092445213	0.057062121046386645	0.34927095637574174	0.11102109181452537
3.0	12.0	2.9015113092445213	0.057062121046386645	0.34927095637574174	0.11102109181452537
3.0	13.0	2.9015113092445213	0.057062121046386645	0.34927095637574174	0.11102109181452537
3.0	14.0	2.17886279812857	0.05767336175603059	0.355173411288899	0.12997818438291847
3.0	15.0	1.9416539083099822	0.06848337568792269	0.29696421970605946	0.14231845170692053
3.0	16.0	1.9416539083099822	0.06848337568792269	0.29696421970605946	0.14231845170692053
3.0	17.0	0.9287193726959027	0.07744185047387944	0.28429466841180134	0.19588690840883158
3.0	18.0	0.9287193726959027	0.07744185047387944	0.28429466841180134	0.19588690840883158
3.0	19.0	0.9287193726959027	0.07744185047387944	0.28429466841180134	0.19588690840883158
3.0	20.0	0.9287193726959027	0.07744185047387944	0.28429466841180134	0.19588690840883158
4.0	0.0	0.9287193726959027	0.07744185047387944	0.28429466841180134	0.19588690840883158
4.0	1.0	0.9287193726959027	0.07744185047387944	0.28429466841180134	0.19588690840883158
4.0	2.0	1.3341577503308475	0.06687633646838047	0.2808029017393416	0.18613782436588105
4.0	3.0	0.455934826900992	0.11541122763626549	0.3004893135237565	0.23023559332902557
4.0	4.0	0.455934826900992	0.11541122763626549	0.3004893135237565	0.23023559332902557
4.0	5.0	0.455934826900992	0.11541122763626549	0.3004893135237565	0.23023559332902557
4.0	6.0	0.455934826900992	0.11541122763626549	0.3004893135237565	0.23023559332902557
4.0	7.0	0.5601962706986161	0.13776606045858847	0.4144995590897436	0.23109740757892336
4.0	8.0	1.0424672345803554	0.10917813389800822	0.3971173444602712	0.2121653506682632
4.0	9.0	1.0655487470206892	0.11709478669388976	0.4439679104062806	0.2043440310194338
4.0	10.0	1.0655487470206892	0.11709478669388976	0.4439679104062806	0.2043440310194338
4.0	11.0	1.0655487470206892	0.11709478669388976	0.4439679104062806	0.2043440310194338
4.0	12.0	1.0655487470206892	0.11709478669388976	0.4439679104062806	0.2043440310194338
4.0	13.0	1.0655487470206892	0.11709478669388976	0.4439679104062806	0.2043440310194338
4.0	14.0	0.6514393145388404	0.18244778401833575	0.43440834780720955	0.31133876330546906
4.0	15.0	0.2996367346604253	0.1658346154376217	0.41398422286549624	0.2576274222375492
4.0	16.0	0.2996367346604253	0.1658346154376217	0.41398422286549624	0.2576274222375492
4.0	17.0	0.2996367346604253	0.1658346154376217	0.41398422286549624	0.2576274222375492
4.0	18.0	1.6988003396997609	0.17943121601543818	0.4054443801733708	0.2239677327415691
4.0	19.0	0.7801235832437767	0.1542711102161931	0.49595045290711315	0.2326766738448642
4.0	20.0	0.7801235832437767	0.1542711102161931	0.49595045290711315	0.2326766738448642
5.0	0.0	0.7801235832437767	0.1542711102161931	0.49595045290711315	0.2326766738448642
5.0	1.0	0.7801235832437767	0.1542711102161931	0.49595045290711315	0.2326766738448642
5.0	2.0	0.6493029993379384	0.1609067774124613	0.4970750186904258	0.2347550144303908
5.0	3.0	0.6493029993379384	0.1609067774124613	0.4970750186904258	0.2347550144303908
5.0	4.0	1.9852575521469737	0.13391233110267584	0.47126636615010264	0.1686995941078389
5.0	5.0	2.0517473345567563	0.12188521539691592	0.5217355006005164	0.2132861177451604
5.0	6.0	0.6438506353653709	0.14233852757815033	0.4097328623047516	0.21564538705284084
5.0	7.0	1.266439312068911	0.11583571493903284	0.43677248580130285	0.21477285705542837
5.0	8.0	3.2537149029426367	0.11177009575670196	0.4906538049801925	0.23130719295732474
5.0	9.0	2.1168811663582043	0.11150549409937756	0.3605505570812393	0.2714294625735448
5.0	10.0	2.1168811663582043	0.11150549409937756	0.3605505570812393	0.2714294625735448
5.0	11.0	0.763487813140212	0.14451793156888437	0.4027564339316248	0.21388540682075305
5.0	12.0	1.8196424902769985	0.12309200889325356	0.3203579772462392	0.19602354358700358
5.0	13.0	0.07191603372191599	0.19580146593928033	0.3360397864944811	0.3713554685930299
5.0	14.0	0.37422649938208163	0.3050185655393971	0.4163974307064225	0.44472358236242954
5.0	15.0	0.37422649938208163	0.3050185655393971	0.4163974307064225	0.44472358236242954
5.0	16.0	0.37422649938208163	0.3050185655393971	0.4163974307064225	0.44472358236242954
5.0	17.0	0.6278397034665372	0.30915787241958953	0.4099522280828679	0.4420466799725974
5.0	18.0	0.6278397034665372	0.30915787241958953	0.4099522280828679	0.4420466799725974
5.0	19.0	0.6278397034665372	0.30915787241958953	0.4099522280828679	0.4420466799725974
5.0	20.0	0.6278397034665372	0.30915787241958953	0.4099522280828679	0.4420466799725974
6.0	0.0	0.6278397034665372	0.30915787241958953	0.4099522280828679	0.4420466799725974
6.0	1.0	0.6278397034665372	0.30915787241958953	0.4099522280828679	0.4420466799725974
6.0	2.0	0.07224305948519989	0.3663045192458742	0.5169541378992435	0.4882658541039602
6.0	3.0	0.07224305948519989	0.3663045192458742	0.5169541378992435	0.4882658541039602
6.0	4.0	0.07224305948519989	0.3663045192458742	0.5169541378992435	0.4882658541039602
6.0	5.0	0.07224305948519989	0.3663045192458742	0.5169541378992435	0.4882658541039602
6.0	6.0	0.07224305948519989	0.3663045192458742	0.5169541378992435	0.4882658541039602
6.0	7.0	0.1295733769691083	0.32325904549281836	0.37023124299096277	0.74733583337754
6.0	8.0	0.23750477741401826	0.2669227992997228	0.3275706176819581	0.546191342699265
6.0	9.0	0.23750477741401826	0.2669227992997228	0.3275706176819581	0.546191342699265
6.0	10.0	0.23750477741401826	0.2669227992997228	0.3275706176819581	0.546191342699265
6.0	11.0	1.1758349606356002	0.2723607381726202	0.45889955075081346	0.511329703309896
6.0	12.0	0.19921883608650562	0.42842164039632324	0.5639951526935327	0.5060688248331757
6.0	13.0	0.18476409532995677	0.5917240013132096	0.7714637127228292	0.6288720867294896
6.0	14.0	0.18476409532995677	0.5917240013132096	0.7714637127228292	0.6288720867294896
6.0	15.0	0.18476409532995677	0.5917240013132096	0.7714637127228292	0.6288720867294896
6.0	16.0	0.18476409532995677	0.5917240013132096	0.7714637127228292	0.6288720867294896
6.0	17.0	0.18476409532995677	0.5917240013132096	0.7714637127228292	0.6288720867294896
6.0	18.0	0.30167820537382223	0.6697694417796125	0.8074853828452365	0.5841958032189429
6.0	19.0	0.30167820537382223	0.6697694417796125	0.8074853828452365	0.5841958032189429
6.0	20.0	0.30167820537382223	0.6697694417796125	0.8074853828452365	0.5841958032189429
7.0	0.0	0.30167820537382223	0.6697694417796125	0.8074853828452365	0.5841958032189429
7.0	1.0	0.31223537263588164	0.6576451633526106	0.9053654473559963	0.6032772233729107
7.0	2.0	0.31223537263588164	0.6576451633526106	0.9053654473559963	0.6032772233729107
7.0	3.0	1.0918817114582677	0.6282112404758707	1.013809249883419	0.5495296520923104
7.0	4.0	3.1803828197420416	0.9664810207646277	1.4217706699390669	0.809933774470271
7.0	5.0	3.1803828197420416	0.9664810207646277	1.4217706699390669	0.809933774470271
7.0	6.0	0.3693556613194571	1.2771141239110784	1.4926032661784872	0.8437405454239841
7.0	7.0	0.3693556613194571	1.2771141239110784	1.4926032661784872	0.8437405454239841
7.0	8.0	0.7817991074138472	1.0676475219727701	1.2353988839194874	0.9491746893141576
7.0	9.0	0.7817991074138472	1.0676475219727701	1.2353988839194874	0.9491746893141576
7.0	10.0	0.11037341656680646	1.1930934313035275	1.3693839682080031	0.7567624100681427
7.0	11.0	0.11037341656680646	1.1930934313035275	1.3693839682080031	0.7567624100681427
7.0	12.0	0.11037341656680646	1.1930934313035275	1.3693839682080031	0.7567624100681427
7.0	13.0	0.11037341656680646	1.1930934313035275	1.3693839682080031	0.7567624100681427
7.0	14.0	0.11037341656680646	1.1930934313035275	1.3693839682080031	0.7567624100681427
7.0	15.0	0.11037341656680646	1.1930934313035275	1.3693839682080031	0.7567624100681427
7.0	16.0	0.11037341656680646	1.1930934313035275	1.3693839682080031	0.7567624100681427
7.0	17.0	0.11037341656680646	1.1930934313035275	1.3693839682080031	0.7567624100681427
7.0	18.0	0.11037341656680646	1.1930934313035275	1.3693839682080031	0.7567624100681427
7.0	19.0	0.11037341656680646	1.1930934313035275	1.3693839682080031	0.7567624100681427
7.0	20.0	0.11037341656680646	1.1930934313035275	1.3693839682080031	0.7567624100681427
8.0	0.0	0.11037341656680646	1.1930934313035275	1.3693839682080031	0.7567624100681427
8.0	1.0	0.11037341656680646	1.1930934313035275	1.3693839682080031	0.7567624100681427
8.0	2.0	0.3864725647882342	1.2985577798697043	1.4458508820714633	0.6875461421106238
8.0	3.0	0.3864725647882342	1.2985577798697043	1.4458508820714633	0.6875461421106238
8.0	4.0	0.3864725647882342	1.2985577798697043	1.4458508820714633	0.6875461421106238
8.0	5.0	0.4453879985740408	1.1793489084974689	1.3760913930022296	0.8643272207824101
8.0	6.0	0.4453879985740408	1.1793489084974689	1.3760913930022296	0.8643272207824101
8.0	7.0	0.2053810755387271	0.9124730170805416	0.9633353230184196	0.8283996163523898
8.0	8.0	0.2053810755387271	0.9124730170805416	0.9633353230184196	0.8283996163523898
8.0	9.0	1.438148755843396	1.247501411341504	1.3407969382875968	0.6234461774493305
8.0	10.0	1.438148755843396	1.247501411341504	1.3407969382875968	0.6234461774493305
8.0	11.0	8.566797696589852	1.0040838978185804	1.9624044898842041	0.7921405814384542
8.0	12.0	1.366353392110324	1.5264412060891692	1.9043269246137817	0.8968038518047982
8.0	13.0	1.6471554359501626	1.2405456558537358	1.9913233373518069	0.6007844620067008
8.0	14.0	1.6471554359501626	1.2405456558537358	1.9913233373518069	0.6007844620067008
8.0	15.0	1.6471554359501626	1.2405456558537358	1.9913233373518069	0.6007844620067008
8.0	16.0	1.6471554359501626	1.2405456558537358	1.9913233373518069	0.6007844620067008
8.0	17.0	1.6471554359501626	1.2405456558537358	1.9913233373518069	0.6007844620067008
8.0	18.0	1.915984680117139	1.097958472871657	2.2945235777535062	0.43660206897966
8.0	19.0	0.14421427136664655	1.1546509554619668	2.329368685195546	0.3195940484479168
8.0	20.0	0.14421427136664655	1.1546509554619668	2.329368685195546	0.3195940484479168
9.0	0.0	0.14421427136664655	1.1546509554619668	2.329368685195546	0.3195940484479168
9.0	1.0	0.14421427136664655	1.1546509554619668	2.329368685195546	0.3195940484479168
9.0	2.0	0.14421427136664655	1.1546509554619668	2.329368685195546	0.3195940484479168
9.0	3.0	0.14421427136664655	1.1546509554619668	2.329368685195546	0.3195940484479168
9.0	4.0	1.8726839338926242	1.5614145071012169	2.722278072198201	0.29511402751442994
9.0	5.0	1.045927576699933	1.4207290148444462	2.8170782139348907	0.4215682547176179
9.0	6.0	0.1474454342862335	1.514296749958276	2.676119177849043	0.4055348297083504
9.0	7.0	0.1474454342862335	1.514296749958276	2.676119177849043	0.4055348297083504
9.0	8.0	0.12408780736918822	1.5124717564239152	2.502032835407938	0.4367608580237813
9.0	9.0	0.12408780736918822	1.5124717564239152	2.502032835407938	0.4367608580237813
9.0	10.0	0.4188439490501758	1.942867692344194	3.0294228740839015	0.38737986228933524
9.0	11.0	1.5864426058200454	1.7654566637395133	2.620755959674662	0.3595570250585776
9.0	12.0	1.5864426058200454	1.7654566637395133	2.620755959674662	0.3595570250585776
9.0	13.0	1.5864426058200454	1.7654566637395133	2.620755959674662	0.3595570250585776
9.0	14.0	0.266525101302242	1.450860259666435	2.732850610453053	0.32492121268801716
9.0	15.0	0.266525101302242	1.450860259666435	2.732850610453053	0.32492121268801716
9.0	16.0	0.266525101302242	1.450860259666435	2.732850610453053	0.32492121268801716
9.0	17.0	0.3251161633222927	1.4673450807049448	3.2896618611467674	0.32420696299831064
9.0	18.0	0.3251161633222927	1.4673450807049448	3.2896618611467674	0.32420696299831064
9.0	19.0	0.623715832033701	1.1253147497957616	2.865540006495597	0.24454767076010248
9.0	20.0	0.623715832033701	1.1253147497957616	2.865540006495597	0.24454767076010248
10.0	0.0	0.623715832033701	1.1253147497957616	2.865540006495597	0.24454767076010248
10.0	1.0	0.623715832033701	1.1253147497957616	2.865540006495597	0.24454767076010248
10.0	2.0	0.988013696824449	1.057876704765016	2.7926333510756214	0.22926158853623804
10.0	3.0	0.988013696824449	1.057876704765016	2.7926333510756214	0.22926158853623804
10.0	4.0	0.988013696824449	1.057876704765016	2.7926333510756214	0.22926158853623804
10.0	5.0	0.988013696824449	1.057876704765016	2.7926333510756214	0.22926158853623804
10.0	6.0	0.988013696824449	1.057876704765016	2.7926333510756214	0.22926158853623804
10.0	7.0	0.988013696824449	1.057876704765016	2.7926333510756214	0.22926158853623804
10.0	8.0	0.988013696824449	1.057876704765016	2.7926333510756214	0.22926158853623804
10.0	9.0	1.0695133752070298	0.9146227706650795	3.2619738718765134	0.1986727657443612
10.0	10.0	1.0695133752070298	0.9146227706650795	3.2619738718765134	0.1986727657443612
10.0	11.0	1.3419504993869882	0.847181148033957	2.947073582884646	0.19352103130077444
10.0	12.0	1.3419504993869882	0.847181148033957	2.947073582884646	0.19352103130077444
10.0	13.0	1.3419504993869882	0.847181148033957	2.947073582884646	0.19352103130077444
10.0	14.0	1.3419504993869882	0.847181148033957	2.947073582884646	0.19352103130077444
10.0	15.0	1.3419504993869882	0.847181148033957	2.947073582884646	0.19352103130077444
10.0	16.0	0.19089842968986276	0.9537480300318586	1.9224318553103366	0.3495920952805104
10.0	17.0	0.19089842968986276	0.9537480300318586	1.9224318553103366	0.3495920952805104
10.0	18.0	0.19089842968986276	0.9537480300318586	1.9224318553103366	0.3495920952805104
10.0	19.0	0.19089842968986276	0.9537480300318586	1.9224318553103366	0.3495920952805104
10.0	20.0	1.1478769232273094	0.8064632826882577	1.326632717602568	0.32761585720803993
